Run Fondo;serie;caracteristica;fecha_inicio;fecha_termino;valor_inicial_cuota;continuadora_serie
8127;UNICA;;1998-12-05;2007-06-30;1059.0000;
8127;A;;2007-07-01;2020-02-18;1626.8529;UNICA
8127;E;;2014-12-11;2020-02-18;1000.0000;
8127;B;APV;2007-07-01;;1626.8529;UNICA
8127;BCH;;2021-11-11;;1000.0000;
8127;BPLUS;APV;2020-03-20;;2000.0000;
8127;L;;2020-02-19;;2756.6448;A
8127;M;;2020-02-19;;1175.4115;E
8127;P1;;2019-10-02;;2700.0000;
8941;A;;;;1000.0000;
8941;AP;;2019-12-23;;1000.0000;
8941;APV;APV;2020-01-08;;1000.0000;
8941;BCI;;2015-06-08;;1000.0000;
8941;BP;;2020-01-16;;1000.0000;
8941;CLASI;;2012-07-10;;1000.0000;
8941;FAMIL;;2012-07-10;;1000.0000;
8986;I;APV;2013-04-15;2015-10-02;1000.0000;
8986;A;;2013-04-15;;1000.0000;
8986;B;;2013-04-15;;1000.0000;
8986;D;;2013-05-23;;1000.0000;
8986;G;;2017-05-30;;1000.0000;
8986;H;;2015-10-08;;1000.0000;
8986;I-APV;APV;2015-10-03;;1000.0000;I
8986;S;;2018-07-13;;1000.0000;
8986;V;;2015-10-29;;1000.0000;
8991;UNICA;;2013-06-03;2016-05-10;1000.0000;
8991;GLOBA;;2017-02-07;2021-07-17;1000.0000;
8991;INVER;;2016-07-01;2021-07-17;1000.0000;
8991;PATRI;;2017-02-08;2021-07-17;1000.0000;
8991;PERSO;;2016-05-11;2021-07-17;1066.6039;UNICA
8991;ALTOPATRIM;;2021-08-20;;1000.0000;
8991;APV;APV;2016-06-09;;1000.0000;
8991;CLASICA;;2021-07-18;;1189.4617;PERSO
8991;FAMILIACLA;;2021-07-18;;1125.8391;INVER
8991;SBK;;2023-05-08;;1000.0000;
8991;VIVIENDA;;2021-07-18;;4325.0757;V
8991;WEALTH;;2021-09-06;;1000.0000;
8991;WEB;;2021-07-21;;1000.0000;
9158;A;;2015-03-03;2021-07-17;1000.0000;
9158;APV;APV;2015-03-06;2021-07-17;1000.0000;
9158;F;;2015-03-06;2021-07-17;1000.0000;
9158;V;;2015-03-06;2021-07-17;1000.0000;
9222;AM;;2018-09-11;;1000.0000;
9222;APV;APV;2015-10-14;;1000.0000;
9222;DIGITAL;;2022-02-18;;1000.0000;
9222;EJECU;;2015-10-16;;1000.0000;
9222;G;;2016-11-28;;1000.0000;
9222;I;;;;1000.0000;
9222;INVER;;2015-10-15;;1000.0000;
9222;UNIVE;;2015-10-14;;1000.0000;
9222;YOU;;2023-07-17;;1000.0000;
9291;A;;2016-02-01;;1000.0000;
9291;APV;APV;2016-06-10;;1000.0000;
9291;B;;2016-06-09;;1000.0000;
9291;BE;;2019-07-02;;1000.0000;
9291;C;;2017-02-14;;1000.0000;
9291;I;;2016-03-01;;1000.0000;
9291;VIVIENDA;;2016-01-29;;1000.0000;
